variance,skewness,curtosis,entropy,label,class
-5.2049,7.2589999999999995,0.070827,-7.3004,0,1
1.5077,1.9596,-3.0584,-0.12243,1,1
0.3223,-0.8980799999999999,8.0883,0.69222,0,0
2.6799,3.1349,0.34073000000000003,0.5848899999999999,0,0
-6.9599,8.9931,0.2182,-4.572,0,1
-3.5713,-12.4922,14.8881,-0.47026999999999997,0,1
-1.9922,11.6542,2.6542,-5.2107,0,0
3.2351,9.647,-3.2074,-2.5948,0,0
-3.2051,-0.14279,0.97565,0.045675,0,1
-1.1804,11.5093,0.15565,-6.8194,0,0
1.6799,4.2068,-4.5398,-2.3931,1,1
0.93611,8.6413,-1.6351,-1.3043,0,0
-0.77461,-1.8768,2.4023,1.1319,0,1
-4.8554,-5.9037,10.9818,-0.82199,0,1
2.2429,-4.1427,5.2333,-0.40173000000000003,0,0
-0.9607,2.6963,-3.1226,-1.3121,0,1
-5.525,6.3258,0.8976799999999999,-6.6241,0,1
0.9297,-3.7971,4.6429,-0.2957,0,0
-2.0759,10.8223,2.6439,-4.837,0,0
4.3684,9.6718,-3.9606,-3.1625,0,0
1.3566,4.2358,2.1341,0.3211,0,0
2.0922,-6.81,8.4636,-0.60216,0,0
4.5597,-2.4211,2.6413,1.6168,0,0
3.8027,0.81529,2.1041,1.0245,0,0
-3.9204,4.0723,-0.23678000000000002,-2.1151,1,1
-1.8187,-9.0366,9.0162,-0.12243,0,1
-2.2173,1.4671,-0.7268899999999999,-1.1724,1,1
2.5559,3.3605,2.0321,0.26809,0,0
-1.005,0.08483099999999999,-0.2462,0.45688,0,1
-1.9409,-8.6848,9.155,0.9404899999999999,0,1
-3.7181,-8.5089,12.363,-0.9551799999999999,1,1
3.8644,3.7061,0.70403,0.35214,0,0
1.5673,7.9274,-0.056842,-2.1694,0,0
-0.82601,2.9611,-1.2864,-1.4647,0,1
1.143,0.83391,5.4552,-0.56984,0,0
-1.0833,-0.31246999999999997,1.2815,0.41291000000000005,0,1
-0.10647999999999999,-0.76771,7.7575,0.64179,0,0
4.1373,0.49248000000000003,1.093,1.8276,0,0
-2.8957,-12.0205,11.9149,-2.7552,0,1
0.7057,-5.4981,8.3368,-2.8715,0,0
-0.87834,3.2569999999999997,-3.6778,-3.2944,0,1
-1.5322,-5.0966,6.6779,0.17498,0,1
-2.9662,-10.3257,8.783999999999999,-2.1138,1,1
0.63655,5.2022,-5.2159,-6.1211,0,1
-3.8073,-8.0971,10.1772,0.65084,0,1
-3.1128,-6.841,10.7402,-1.0172,0,1
-2.3242,11.5176,1.8231,-5.375,0,0
-2.3675,-0.43663,1.692,-0.43018,0,1
-5.0477,-5.8023,11.244000000000002,-0.3901,0,1
-1.2369,-1.6906,2.5180000000000002,0.51636,0,1
-3.9297,-6.0816,10.0958,-1.0147,0,1
0.75108,1.9161,-3.1098,-0.20518000000000003,0,1
-2.3629,-0.10554000000000001,1.9336,1.1358,0,1
-1.5228,-6.4789,5.7568,0.87325,1,1
3.6289,0.8132199999999999,1.6277,0.77627,0,0
0.12326,8.9848,-0.9351,-2.4332,0,0
5.8862,5.8747,-2.8167,-0.30086999999999997,0,0
3.4591,11.112,-4.2039,-5.0931,0,0
3.9479,-3.7723,2.883,0.019813,0,0
-3.0193,1.7775,0.73745,-0.45346000000000003,0,1
-1.7599,11.9211,2.6756,-3.3241,0,0
-1.8584,7.886,-1.6643,-1.8384,0,0
-0.7056,8.7241,2.2215,-4.5965,0,0
1.7875,4.78,-5.1362,-3.2362,0,1
0.9829600000000001,3.4226,-3.9692,-1.7116,1,1
-4.2887,-7.8633,11.8387,-1.8978,0,1
0.49571000000000004,10.2243,-1.097,-4.0159,0,0
-2.7611,-10.5099,9.0239,-1.9547,0,1
3.9719,1.0367,0.75973,1.0013,0,0
1.2706,8.035,-0.19651,-2.1888,0,0
-0.2062,9.2207,-3.7044,-6.8103,0,0
3.9292,-2.9156,2.2129,0.30817,0,0
-3.3604,-0.32696,2.1324,0.6017,1,1
-0.3481,-0.38695999999999997,-0.47841000000000006,0.62627,0,1
0.23874,2.0879,-3.3522,-0.6655300000000001,0,1
2.9695,5.6222,0.27560999999999997,-1.1556,0,0
-2.234,-7.0314,7.4936,0.61334,1,1
1.0987,0.6394,5.989,-0.58277,0,0
3.245,6.63,-0.63435,0.8693700000000001,0,0
2.1752,-0.8091,5.1022,-0.67975,0,0
-1.3887,-4.8773,6.4774,0.34179,0,1
-2.6479,10.1374,-1.331,-5.4707,0,0
0.25943,5.0097,-5.0394,-6.3862,0,1
-2.5419,-0.65804,2.6842,1.1952,1,1
4.1605,11.2196,-3.6136,-4.0819,0,0
-0.8172,3.3812,-3.6684,-3.4560000000000004,0,1
1.8314,6.3672,-0.036278,0.049554,0,0
-1.8439,-8.6475,7.6796,-0.66682,1,1
5.3586,3.7557,-1.7345,1.0789,0,0
-1.1313,1.9037,7.5339,1.022,0,0
6.8248,5.2187,-2.5425,0.5461,0,0
